"REF_DATE","GEO","DGUID","Estimates","Consumption category","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008","Newfoundland and Labrador","2016A000210","Individual consumption expenditures of non-profit institutions serving households","Education","Dollars","81","millions","6","v1039061558","2.3.11","8.0","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Individual consumption expenditures of non-profit institutions serving households","Miscellaneous goods and services (including social protection)","Dollars","81","millions","6","v1039061559","2.3.14","29.1","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Individual consumption expenditures of non-profit institutions serving households","Other services","Dollars","81","millions","6","v1039061560","2.3.16","158.5","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Household actual final consumption","Total consumption","Dollars","81","millions","6","v1039061561","2.4.1","16210.0","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Household actual final consumption","Food and non-alcoholic beverages","Dollars","81","millions","6","v1039061562","2.4.2","1218.0","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Household actual final consumption","Alcoholic beverages and tobacco","Dollars","81","millions","6","v1039061563","2.4.3","698.6","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Household actual final consumption","Clothing and footwear","Dollars","81","millions","6","v1039061564","2.4.4","540.5","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Household actual final consumption","Housing, water, electricity, gas and other fuels","Dollars","81","millions","6","v1039061565","2.4.5","2711.5","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Household actual final consumption","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","millions","6","v1039061566","2.4.6","730.9","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Household actual final consumption","Health","Dollars","81","millions","6","v1039061567","2.4.7","2431.9","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Household actual final consumption","Transport","Dollars","81","millions","6","v1039061568","2.4.8","2117.2","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Household actual final consumption","Communications","Dollars","81","millions","6","v1039061569","2.4.9","324.9","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Household actual final consumption","Recreation and culture","Dollars","81","millions","6","v1039061570","2.4.10","1161.6","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Household actual final consumption","Education","Dollars","81","millions","6","v1039061571","2.4.11","1553.6","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Household actual final consumption","Food, beverage and accommodation services","Dollars","81","millions","6","v1039061572","2.4.12","756.3","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Household actual final consumption","Insurance and financial services","Dollars","81","millions","6","v1039061573","2.4.13","880.5","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Household actual final consumption","Miscellaneous goods and services (including social protection)","Dollars","81","millions","6","v1039061574","2.4.14","853.5","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Household actual final consumption","Net expenditure abroad","Dollars","81","millions","6","v1039061575","2.4.15","72.4","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Household actual final consumption","Other services","Dollars","81","millions","6","v1039061576","2.4.16","158.5","","","","1"
"2008","Prince Edward Island","2016A000211","Household final consumption expenditure","Total consumption","Dollars","81","millions","6","v1039061577","3.1.1","3385.0","","","","1"
"2008","Prince Edward Island","2016A000211","Household final consumption expenditure","Food and non-alcoholic beverages","Dollars","81","millions","6","v1039061578","3.1.2","320.1","","","","1"
"2008","Prince Edward Island","2016A000211","Household final consumption expenditure","Alcoholic beverages and tobacco","Dollars","81","millions","6","v1039061579","3.1.3","157.2","","","","1"
"2008","Prince Edward Island","2016A000211","Household final consumption expenditure","Clothing and footwear","Dollars","81","millions","6","v1039061580","3.1.4","135.7","","","","1"
"2008","Prince Edward Island","2016A000211","Household final consumption expenditure","Housing, water, electricity, gas and other fuels","Dollars","81","millions","6","v1039061581","3.1.5","845.1","","","","1"
"2008","Prince Edward Island","2016A000211","Household final consumption expenditure","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","millions","6","v1039061582","3.1.6","195.8","","","","1"
"2008","Prince Edward Island","2016A000211","Household final consumption expenditure","Health","Dollars","81","millions","6","v1039061583","3.1.7","128.9","","","","1"
"2008","Prince Edward Island","2016A000211","Household final consumption expenditure","Transport","Dollars","81","millions","6","v1039061584","3.1.8","516.5","","","","1"
"2008","Prince Edward Island","2016A000211","Household final consumption expenditure","Communications","Dollars","81","millions","6","v1039061585","3.1.9","85.5","","","","1"
